"item_id","topic","condition_index","pc_prag","g_implied","pc_prag_c","g_c","pc_prop_c","mean_pc_prop_rating","soviel ich weiß","ja","bekanntlich","modal_marker","modal_prob","runner_up_prob","modal_margin","selected_marker","selected_prob","deviation_from_modal","log_prob_loss"
5,"schlaf",2,"high","low",0.5,-0.5,0.0921691143012016,74,0.248257310422618,0.352323053172701,0.399419636404681,"bekanntlich",0.399419636404681,0.352323053172701,0.0470965832319803,"ja",0.352323053172701,TRUE,0.125464065127258
5,"schlaf",3,"high","high",0.5,0.5,0.0921691143012016,74,0.225655079492829,0.346339317340032,0.428005603167139,"bekanntlich",0.428005603167139,0.346339317340032,0.0816662858271065,"ja",0.346339317340032,TRUE,0.211717306554848
6,"plastik",0,"low","low",-0.5,-0.5,-0.368676457204806,79,0.25525421368867,0.353603167360611,0.391142618950719,"bekanntlich",0.391142618950719,0.353603167360611,0.0375394515901087,"soviel ich weiß",0.25525421368867,TRUE,0.42681228283492
6,"plastik",1,"low","high",-0.5,0.5,-0.368676457204806,79,0.150552151022654,0.309455502897206,0.53999234608014,"bekanntlich",0.53999234608014,0.309455502897206,0.230536843182934,"bekanntlich",0.53999234608014,FALSE,0
6,"plastik",2,"high","low",0.5,-0.5,-0.368676457204806,79,0.233451348051977,0.348425321749673,0.41812333019835,"bekanntlich",0.41812333019835,0.348425321749673,0.0696980084486769,"ja",0.348425321749673,TRUE,0.182352514882564
6,"plastik",3,"high","high",0.5,0.5,-0.368676457204806,79,0.199786258956913,0.336711358662493,0.463502382380594,"bekanntlich",0.463502382380594,0.336711358662493,0.126791023718102,"ja",0.336711358662493,TRUE,0.31958546411306
7,"sport",0,"low","low",-0.5,-0.5,-0.737352914409613,83,0.242166280082818,0.350118096081295,0.407715623835887,"bekanntlich",0.407715623835887,0.350118096081295,0.0575975277545926,"ja",0.350118096081295,TRUE,0.152299416038068
7,"sport",1,"low","high",-0.5,0.5,-0.737352914409613,83,0.148168909701165,0.307020358675112,0.544810731623723,"bekanntlich",0.544810731623723,0.307020358675112,0.237790372948612,"bekanntlich",0.544810731623723,FALSE,0
7,"sport",2,"high","low",0.5,-0.5,-0.737352914409613,83,0.222273858173233,0.344435332974624,0.433290808852143,"bekanntlich",0.433290808852143,0.344435332974624,0.0888554758775199,"ja",0.344435332974624,TRUE,0.229502756415165
7,"sport",3,"high","high",0.5,0.5,-0.737352914409613,83,0.180785650887995,0.327110574043077,0.492103775068929,"bekanntlich",0.492103775068929,0.327110574043077,0.164993201025852,"bekanntlich",0.492103775068929,FALSE,0
8,"lokalkauf",0,"low","low",-0.5,-0.5,1.56687494312043,58,0.333522328917811,0.355866692223774,0.310610978858415,"ja",0.355866692223774,0.333522328917811,0.0223443633059631,"soviel ich weiß",0.333522328917811,TRUE,0.0648463842875795
8,"lokalkauf",1,"low","high",-0.5,0.5,1.56687494312043,58,0.169050941110324,0.316974439429452,0.513974619460224,"bekanntlich",0.513974619460224,0.316974439429452,0.197000180030772,"bekanntlich",0.513974619460224,FALSE,0
8,"lokalkauf",2,"high","low",0.5,-0.5,1.56687494312043,58,0.301119559501655,0.355953697957308,0.342926742541038,"ja",0.355953697957308,0.342926742541038,0.0130269554162701,"soviel ich weiß",0.301119559501655,TRUE,0.167293266946075
8,"lokalkauf",3,"high","high",0.5,0.5,1.56687494312043,58,0.322311006944585,0.356280670943625,0.32140832211179,"ja",0.356280670943625,0.322311006944585,0.0339696639990402,"soviel ich weiß",0.322311006944585,TRUE,0.100201882275793
